Days,Longitude,Latitude,Tilt,DNI,GHI
31,27.20745,47.85588,18,2.68,1.44
29,27.20745,47.85588,18,2.53,2.13
31,27.20745,47.85588,18,3.55,3.33
30,27.20745,47.85588,18,6.46,5.61
31,27.20745,47.85588,18,3.55,4.83
30,27.20745,47.85588,18,4.23,5.9
31,27.20745,47.85588,18,5.32,5.94
31,27.20745,47.85588,18,6.95,5.99
30,27.20745,47.85588,18,5.92,4.51
31,27.20745,47.85588,18,2.07,2.15
30,27.20745,47.85588,18,1.96,1.3
31,27.20745,47.85588,18,0.82,0.63
