Days,Longitude,Latitude,Tilt,DNI,GHI
31,26.248,45.496,18,3.19,1.67
29,26.248,45.496,18,3.2,2.45
31,26.248,45.496,18,3.63,3.59
30,26.248,45.496,18,6.36,5.81
31,26.248,45.496,18,3.3,5.14
30,26.248,45.496,18,4.17,5.85
31,26.248,45.496,18,6.15,6.51
31,26.248,45.496,18,6.53,5.88
30,26.248,45.496,18,5.82,4.55
31,26.248,45.496,18,2.69,2.48
30,26.248,45.496,18,2.59,1.61
31,26.248,45.496,18,1.07,0.83
